idx,page_tsx_path,layout_sidecar,user_path,primary_round,role_guess,key_api_or_ui_contract,appendix_b_axes,playwright_ref,vitest_ref,d3_hand,status_93,gap_issue,controls_notes
11,frontend/app/admin/drift-summary/page.tsx,Y,/admin/drift-summary,R7,admin,matrix:96-20:auto:admin-drift-summary; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-drift-summary; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/drift-summary; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
12,frontend/app/admin/fee-router/page.tsx,Y,/admin/fee-router,R7,admin,matrix:96-20:auto:admin-fee-router; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-fee-router; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/fee-router; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
13,frontend/app/admin/finance-reconciliation/page.tsx,Y,/admin/finance-reconciliation,R7,admin,matrix:96-20:auto:admin-finance-reconciliation; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-finance-reconciliation; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/finance-reconciliation; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
14,frontend/app/admin/finance/page.tsx,Y,/admin/finance,R7,admin,matrix:96-20:auto:admin-finance; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-finance; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/finance; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
15,frontend/app/admin/flags/page.tsx,Y,/admin/flags,R7,admin,matrix:96-20:auto:admin-flags; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-flags; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/flags; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
16,frontend/app/admin/guides/page.tsx,Y,/admin/guides,R7,admin,matrix:96-20:auto:admin-guides; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-guides; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/guides; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
17,frontend/app/admin/indexer/page.tsx,Y,/admin/indexer,R7,admin,matrix:96-20:auto:admin-indexer; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-indexer; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/indexer; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
18,frontend/app/admin/indexer/reconcile-reports/page.tsx,Y,/admin/indexer/reconcile-reports,R7,admin,matrix:96-20:auto:admin-indexer-reconcile-reports; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-indexer-reconcile-reports; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/indexer/reconcile-reports; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
19,frontend/app/admin/internal-tools/audits/page.tsx,Y,/admin/internal-tools/audits,R7,admin,matrix:96-20:auto:admin-internal-tools-audits; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-internal-tools-audits; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/internal-tools/audits; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
20,frontend/app/admin/jobs/page.tsx,Y,/admin/jobs,R7,admin,matrix:96-20:auto:admin-jobs; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-jobs; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/jobs; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
21,frontend/app/admin/lifecycle/page.tsx,Y,/admin/lifecycle,R7,admin,matrix:96-20:auto:admin-lifecycle; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-lifecycle; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/lifecycle; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
22,frontend/app/admin/media/access-logs/page.tsx,Y,/admin/media/access-logs,R7,admin,matrix:96-20:auto:admin-media-access-logs; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-media-access-logs; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/media/access-logs; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
23,frontend/app/admin/media/signed-url-tokens/page.tsx,Y,/admin/media/signed-url-tokens,R7,admin,matrix:96-20:auto:admin-media-signed-url-tokens; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-media-signed-url-tokens; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/media/signed-url-tokens; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
24,frontend/app/admin/observability/page.tsx,Y,/admin/observability,R7,admin,matrix:96-20:auto:admin-observability; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-observability; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/observability; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
25,frontend/app/admin/orders/page.tsx,Y,/admin/orders,R7,admin,matrix:96-20:auto:admin-orders; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-orders; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/orders; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
26,frontend/app/admin/page.tsx,Y,/admin,R7,admin,matrix:96-20:auto:admin; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
27,frontend/app/admin/policies/page.tsx,Y,/admin/policies,R7,admin,matrix:96-20:auto:admin-policies; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-policies; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/policies; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
28,frontend/app/admin/region-vault/page.tsx,Y,/admin/region-vault,R7,admin,matrix:96-20:auto:admin-region-vault; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-region-vault; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/region-vault; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
29,frontend/app/admin/reviews/page.tsx,Y,/admin/reviews,R7,admin,matrix:96-20:auto:admin-reviews; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-reviews; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/reviews; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
30,frontend/app/admin/scheduler/jobs/page.tsx,Y,/admin/scheduler/jobs,R7,admin,matrix:96-20:auto:admin-scheduler-jobs; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-scheduler-jobs; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/scheduler/jobs; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
31,frontend/app/admin/schema/page.tsx,Y,/admin/schema,R7,admin,matrix:96-20:auto:admin-schema; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-schema; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/schema; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
32,frontend/app/admin/secrets/metadata/page.tsx,Y,/admin/secrets/metadata,R7,admin,matrix:96-20:auto:admin-secrets-metadata; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-secrets-metadata; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/secrets/metadata; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
33,frontend/app/admin/tenants/scopes/page.tsx,Y,/admin/tenants/scopes,R7,admin,matrix:96-20:auto:admin-tenants-scopes; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-tenants-scopes; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/tenants/scopes; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
34,frontend/app/admin/trust-growth/page.tsx,Y,/admin/trust-growth,R7,admin,matrix:96-20:auto:admin-trust-growth; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-trust-growth; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/trust-growth; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
35,frontend/app/admin/users/page.tsx,Y,/admin/users,R7,admin,matrix:96-20:auto:admin-users; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-users; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/users; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
